"cr2sub_id","dga_well_code","dga_well_name","dga_well_basin","dga_well_subbasin","dga_well_lat","dga_well_lon","dga_well_utm_north","dga_well_utm_east","dga_well_elev","cr2sub_lat","cr2sub_lon","cr2sub_utm_north_h19","cr2sub_utm_east_h19","cr2sub_elev","cr2sub_slp","cr2sub_mean_gwl","cr2sub_sd_gwl","cr2sub_cv_gwl","cr2sub_clean_mean_gwl","cr2sub_clean_sd_gwl","cr2sub_clean_cv_gwl","cr2sub_in_basin_camels","cr2sub_camels_pr_yr","cr2sub_camels_pet_yr","cr2sub_camels_aridity","cr2sub_camels_sf","cr2sub_camels_elev","cr2sub_camels_slp","cr2sub_in_basin_bna","cr2sub_bna_pr_yr","cr2sub_bna_pet_yr","cr2sub_bna_aridity","cr2sub_bna_sf","cr2sub_bna_elev","cr2sub_bna_slp","cr2sub_clsoilmap_awc_0_100cm","cr2sub_clsoilmap_awc_100_200cm","cr2sub_clsoilmap_bulkd_0_100cm","cr2sub_clsoilmap_bulkd_100_200cm","cr2sub_clsoilmap_clay_0_100cm","cr2sub_clsoilmap_clay_100_200cm","cr2sub_clsoilmap_ksat_0_100cm","cr2sub_clsoilmap_ksat_100_200cm","cr2sub_clsoilmap_sand_0_100cm","cr2sub_clsoilmap_sand_100_200cm"
3434007,"03434007-2","FUNDO PALERMO","RIO COPIAPO","Rio Copiapo Medio (entre R. Jorquera Q. Paipote)",-27.481111,-70.269167,6959592,374608,496,-27.481111,-70.269167,6959592,374608,491.07,0.58,-13,5.29,-0.41,-12.99,5.33,-0.41,"3450001",114.42,2325.2,20.32,0.49,2893.49,18.6,"34",107.1,2293.59,21.42,0.48,2690.11,17.88,151.674,135.77,1.451,1.556,17.042,21.898,17.633,9.762,42.058,41.026
3451006,"03451006-7","FUNDO SAN JUAN","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",-27.316389,-70.5125,6977604,350338,241,-27.316389,-70.5125,6977604,350338,240.93,0.41,-5.35,2.52,-0.47,-5.32,2.5,-0.47,"3453001",107.54,2303.49,21.42,0.48,2714.83,17.94,"34",107.1,2293.59,21.42,0.48,2690.11,17.88,164.776,167.395,1.351,1.305,22.326,26.658,20.068,22.513,40.528,41.09
3451007,"03451007-5","FUNDO SAN PEDRO","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",-27.332222,-70.563889,6975755,345279,212,-27.332222,-70.563889,6975755,345279,211.9,0.37,-5.17,2.36,-0.46,-5.17,2.37,-0.46,"3453001",107.54,2303.49,21.42,0.48,2714.83,17.94,"34",107.1,2293.59,21.42,0.48,2690.11,17.88,179.848,174.71,1.254,1.289,30.051,28.103,26.445,21.637,34.681,36.008
3450014,"03450014-2","HACIENDA BODEGA","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",-27.305556,-70.397222,6978905,361737,0,-27.305556,-70.397222,6978905,361737,312.17,0.92,-16.52,12.25,-0.74,-16.37,12.29,-0.75,"3453001",107.54,2303.49,21.42,0.48,2714.83,17.94,"34",107.1,2293.59,21.42,0.48,2690.11,17.88,141.954,152.596,1.509,1.496,28.269,17.971,8.802,14.416,36.329,36.774
3823006,"03823006-9","HACIENDA VENTANAS","RIO HUASCO","Rio Huasco",-28.559722,-70.796944,6839476,324216,342,-28.559722,-70.796944,6839476,324216,344.42,0.58,-1.2,1,-0.83,-1.14,0.24,-0.21,"3825001",165.27,1965.43,11.89,0.53,2844.45,22.68,"38",161.04,1951.14,12.12,0.52,2723.21,22.22,139.851,121.046,1.464,1.61,19.901,21.519,19.403,9.063,50.581,50.798
3826006,"03826006-5","HUASCO ALTO","RIO HUASCO","Rio Huasco",-28.477222,-71.169722,6848014,287594,9,-28.477222,-71.169722,6848014,287594,25.27,4.44,-9.26,1.84,-0.2,-9.42,1.43,-0.15,"3826001",160.84,1959.26,12.18,0.52,2742.38,22.3,"38",161.04,1951.14,12.12,0.52,2723.21,22.22,119.728,118.837,1.59,1.6,18.222,14.46,13.968,15.403,57.61,56.5
3826008,"03826008-1","HUASCO ALTO","RIO HUASCO","Rio Huasco",-28.472222,-71.163889,6848532,288138,0,-28.472222,-71.163889,6848532,288138,22.19,0.44,-4.4,1.2,-0.27,NA,NA,NA,"3826001",160.84,1959.26,12.18,0.52,2742.38,22.3,"38",161.04,1951.14,12.12,0.52,2723.21,22.22,129.473,132.745,1.531,1.511,19.707,15.038,14.997,19.092,53.405,52.315
3451008,"03451008-3","HACIENDA MARGARITA","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",-27.338056,-70.605278,6975096,341194,195,-27.338056,-70.605278,6975096,341194,193.15,0.19,-3.75,1.3,-0.35,-3.71,1.28,-0.34,"3453001",107.54,2303.49,21.42,0.48,2714.83,17.94,"34",107.1,2293.59,21.42,0.48,2690.11,17.88,140.505,132.13,1.49,1.539,29.008,31.97,9.41,7.203,40.54,40.394
3451009,"03451009-1","HACIENDA MARIA ISABEL","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",-27.358333,-70.708333,6972674,331026,89,-27.358333,-70.708333,6972674,331026,140.04,2.82,-2.25,0.98,-0.44,NA,NA,NA,"3453001",107.54,2303.49,21.42,0.48,2714.83,17.94,"34",107.1,2293.59,21.42,0.48,2690.11,17.88,128.784,128.218,1.535,1.531,16.94,27.116,16.369,12.784,53.022,53.831
3434005,"03434005-6","PARCELA 8 NANTOCO","RIO COPIAPO","Rio Copiapo Medio (entre R. Jorquera Q. Paipote)",-27.535556,-70.266667,6953562,374917,549,-27.535556,-70.266667,6953562,374917,555.39,10.23,-6.5,2.98,-0.46,-6.24,2.73,-0.44,"3434001",143.84,2135.2,14.84,0.54,3171.9,20.19,"34",107.1,2293.59,21.42,0.48,2690.11,17.88,137.908,122.58,1.511,1.647,27.422,24.263,9.914,4.825,41.064,38.938
3826004,"03826004-9","HUASCO ALTO C - 2","RIO HUASCO","Rio Huasco",-28.469167,-71.161667,6848924,288347,11,-28.469167,-71.161667,6848924,288347,39.65,11.29,-1.11,0.89,-0.81,-1.06,0.69,-0.66,"3826001",160.84,1959.26,12.18,0.52,2742.38,22.3,"38",161.04,1951.14,12.12,0.52,2723.21,22.22,119.268,118.669,1.592,1.597,17.752,17.742,14.377,14.54,57.533,56.586
3823005,"03823005-0","POZO A.P. VALLENAR","RIO HUASCO","Rio Huasco",-28.584167,-70.741389,6836836,329706,406,-28.584167,-70.741389,6836836,329706,410.42,2.71,-19.76,4.96,-0.25,-19.8,4.91,-0.25,"3825001",165.27,1965.43,11.89,0.53,2844.45,22.68,"38",161.04,1951.14,12.12,0.52,2723.21,22.22,130.533,117.704,1.531,1.64,20.12,18.851,14.499,8.758,51.372,51.796
3431010,"03431010-6","QUEBRADA CERRILLOS","RIO COPIAPO","Rio Copiapo Medio (entre R. Jorquera Q. Paipote)",-27.571389,-70.249167,6949649,376690,598,-27.571389,-70.249167,6949649,376690,599.32,1.02,-27.77,10.66,-0.38,-27.39,7.27,-0.27,"3434001",143.84,2135.2,14.84,0.54,3171.9,20.19,"34",107.1,2293.59,21.42,0.48,2690.11,17.88,135.099,125.691,1.524,1.634,28.88,22.808,8.861,5.558,41.535,39.027
