date,3434007,3451006,3451007,3450014,3823006,3826006,3451008,3434005,3826004,3823005,3431010,3450006,3450005,3450015,3825006,3450013,3434008,3826005,3434006,3804008,3430010,3806003,3431009,3451003,3450008,3431006,3431008,3430011,3806004,3434009,3430008,3430009,3431007,3940006,3805002,3430013,3603001,3940003,3940004,3815005,3701007,3450012,3825005,3451013,3404003,3421006,3421005,3453007,3453006,3453005,3451015,3451004,3451005,3451016,3431011,3414005,3430012,3701004,3451021,3451012,3451011,3940007,3450017,3450007,3940005,3451020,3700001,3414004,3701002,3451019,3451018,3814004,3451014,3450016,3451017,3701005,3431012,4537011,4537006,4524002,4555006,4555002,4540008,4320009,4331008,4555003,4556002,4555005,4400007,4506008,4537004,4725002,4533006,4524003,4400022,4400006,4323012,4320007,4331010,4331006,4320004,4556003,4522005,4714002,4550005,4323009,4522006,4711005,4400003,4522004,4320011,4516004,4553005,4400011,4307001,4553008,4320006,4323011,4331013,4400025,4321002,4321005,4320015,4320016,4400038,4308005,4400016,4400010,4550008,4400008,4537010,4540009,4400040,4335006,4400017,4400030,4400023,4120006,4120009,4120003,4120005,4314004,4200003,4200001,4550004,4200007,4550006,4400037,4400014,4400013,4330001,4400012,4314005,4321004,4735003,4320005,4531005,4506009,4331005,4120008,4314007,4331014,4320008,4308004,4503005,4552003,4553007,4323013,4120010,4555004,4540011,4400020,4800001,4321003,4120015,4120016,4120007,4400024,4400026,4531004,4320013,4537005,4902007,4120012,4400031,4100001,4100002,4331017,4120017,4551007,4200008,4200009,4810004,4320014,4723003,4334002,4902006,4551006,4552004,4321006,4735002,4120002,4400034,4120013,4400019,4730005,4308006,5426009,5425005,5428008,5414007,5427011,5426011,5423014,5410018,5520003,5520008,5410017,5410011,5410015,5420007,5410021,5410019,5420009,5420006,5520012,5410014,5423016,5414008,5427012,5410016,5221008,5427010,5200008,5424008,5423018,5426012,5426017,5426018,5426014,5426022,5423024,5210008,5210003,5424010,5428004,5428005,5428006,5428007,5424012,5210006,5426007,5520004,5426005,5426006,5423020,5520005,5520014,5520006,5520011,5520013,5428010,5426019,5425006,5422003,5221007,5426015,5423019,5424006,5426021,5210007,5426016,5425004,5410020,5426008,5520016,5426020,5415008,5423015,5120010,5110005,5120013,5120014,5101007,5520018,5520024,5520023,5100009,5120008,5220011,5120012,5737013,5717009,5737012,5737011,5737010,5730033,5732003,5730026,5712005,5737009,5732006,5735009,5731001,5731002,5732007,5732005,5712006,5740006,5717010,5732004,5714002,5736002,5735010,5715002,5715003,5730019,5712004,5734003,5734006,5731003,5710008,5734005,5730020,5735008,5714001,5734004,5735006,5715004,5730028,5745003,5713009,5747006,5740009,5747003,5747004,5731005,5734007,5747002,5744004,5747005,5730017,5732008,6041004,5736004,5744006,5744005,5730027,5713013,5730018,5713010,5730023,5731004,5736003,5735011,5713012,5713007,5740008,5740007,5737016,5713011,5733013,5733011,5731006,5744008,5744007,5730034,5734008,5737014,5745002,5730036,5735013,5716006,5734010,5713014,5732011,5711004,5735014,6033005,6012012,6019013,6031001,6017003,6051005,6016010,6012010,6015013,6034019,6011005,6014003,6011022,6037004,6018013,6037010,6051008,6033007,6011023,6012007,6030004,6019014,6030009,6011004,6011012,6051006,6030002,6015017,6032002,6034005,6012014,6034017,6012011,6019007,6037005,6015012,6037003,6018015,6034010,6115001,6015018,6015019,6011014,6012005,6036002,6012016,6030010,6018017,6013007,6030007,6035005,6012019,6037009,6051007,6016015,6031003,6043003,6034020,6011024,6014008,6015011,6030008,6030006,6130004,6130005,6131001,6034021,6056004,1310050,1310025,1110007,1110008,1110010,1110003,1110006,1110005,1310024,1310028,1310032,1310048,1310026,1310027,1310033,1110009,1310036,1110004,1310064,1310069,1211010,1700030,1700024,1700026,1700076,1700042,1700043,1700019,1700032,1700013,1700084,1700054,1700057,1700059,1700023,1700063,1700105,1700051,1700086,1700073,1700074,1700092,1700044,1700098,2110017,2105024,2110019,2105028,2105025,2105030,2942008,2942010,2942012,2942003,2942002,2942006,2942015,2942021,2942009,2942007
1960-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
